country,year,renewables_share_energy,fossil_share_energy,solar_share_energy,wind_share_energy,co2_per_capita
China,2000,5.336,94.269,0.001,0.014,2.87
China,2001,6.251,93.36,0.001,0.016,2.912
China,2002,5.922,93.569,0.001,0.017,3.185
China,2003,5.001,94.25,0.001,0.017,3.735
China,2004,5.289,93.969,0.001,0.019,4.002
China,2005,5.239,94.08,0.001,0.025,4.49
China,2006,5.267,94.095,0.001,0.043,4.921
China,2007,5.407,93.932,0.001,0.058,5.261
China,2008,6.872,92.431,0.002,0.133,5.617
China,2009,6.56,92.76,0.003,0.268,5.871
China,2010,7.195,92.132,0.006,0.445,6.37
China,2011,6.697,92.579,0.022,0.615,6.999
China,2012,8.068,91.152,0.029,0.818,7.132
China,2013,8.474,90.679,0.064,1.05,7.21
China,2014,9.69,89.328,0.173,1.178,7.188
China,2015,10.278,88.48,0.286,1.346,7.061
China,2016,11.113,87.357,0.477,1.728,6.943
China,2017,11.666,86.629,0.81,2.093,7.08
China,2018,12.224,85.85,1.155,2.388,7.292
China,2019,12.786,85.048,1.391,2.517,7.526
China,2020,13.396,84.407,1.567,2.8,7.641
China,2021,14.195,83.496,1.853,3.716,7.911
China,2022,15.218,82.455,2.38,4.248,8.218
China,2023,15.505,82.22,3.057,4.636,8.556
China,2024,17.472,80.259,4.221,5.016,8.658
Germany,2000,2.738,85.4,0.0,0.664,10.99
Germany,2001,2.798,85.509,0.007,0.717,11.171
Germany,2002,3.365,85.327,0.014,1.084,10.952
Germany,2003,3.477,85.262,0.021,1.302,10.894
Germany,2004,4.316,84.342,0.038,1.766,10.678
Germany,2005,4.992,83.893,0.089,1.893,10.578
Germany,2006,5.797,83.134,0.15,2.072,10.85
Germany,2007,7.37,82.981,0.215,2.781,10.408
Germany,2008,7.523,82.445,0.304,2.791,10.561
Germany,2009,8.147,82.208,0.48,2.818,9.761
Germany,2010,8.465,81.963,0.815,2.625,10.228
Germany,2011,10.168,82.246,1.405,3.503,9.95
Germany,2012,11.46,81.681,1.844,3.564,10.061
Germany,2013,11.603,81.92,2.038,3.511,10.263
Germany,2014,12.84,80.45,2.449,4.041,9.74
Germany,2015,14.318,79.486,2.57,5.442,9.757
Germany,2016,14.101,80.318,2.476,5.27,9.642
Germany,2017,15.388,79.739,2.475,6.748,9.441
Germany,2018,16.263,78.776,2.893,7.177,9.101
Germany,2019,17.811,77.188,3.012,8.387,8.481
Germany,2020,20.017,75.39,3.531,9.425,7.739
Germany,2021,18.082,77.14,3.41,7.924,8.101
Germany,2022,20.329,77.177,4.332,8.967,7.942
Germany,2023,23.603,75.836,4.962,11.013,7.023
Germany,2024,23.968,76.032,5.727,10.727,6.769
Saudi Arabia,2000,0.0,100.0,0.0,0.0,19.14
Saudi Arabia,2001,0.0,100.0,0.0,0.0,19.034
Saudi Arabia,2002,0.0,100.0,0.0,0.0,19.37
Saudi Arabia,2003,0.0,100.0,0.0,0.0,18.695
Saudi Arabia,2004,0.0,100.0,0.0,0.0,20.728
Saudi Arabia,2005,0.0,100.0,0.0,0.0,20.05
Saudi Arabia,2006,0.0,100.0,0.0,0.0,20.736
Saudi Arabia,2007,0.0,100.0,0.0,0.0,18.925
Saudi Arabia,2008,0.0,100.0,0.0,0.0,20.158
Saudi Arabia,2009,0.0,100.0,0.0,0.0,20.81
Saudi Arabia,2010,0.0,100.0,0.0,0.0,22.087
Saudi Arabia,2011,0.001,99.999,0.001,0.0,20.694
Saudi Arabia,2012,0.002,99.998,0.002,0.0,22.382
Saudi Arabia,2013,0.004,99.996,0.004,0.0,20.808
Saudi Arabia,2014,0.004,99.996,0.004,0.0,20.177
Saudi Arabia,2015,0.004,99.996,0.004,0.0,20.836
Saudi Arabia,2016,0.004,99.996,0.004,0.0,20.873
Saudi Arabia,2017,0.005,99.995,0.005,0.0,20.937
Saudi Arabia,2018,0.013,99.987,0.013,0.0,21.479
Saudi Arabia,2019,0.018,99.982,0.017,0.0,23.245
Saudi Arabia,2020,0.078,99.922,0.078,0.0,21.089
Saudi Arabia,2021,0.083,99.917,0.082,0.0,22.197
Saudi Arabia,2022,0.157,99.843,0.095,0.062,20.73
Saudi Arabia,2023,0.359,99.641,0.238,0.121,20.365
Saudi Arabia,2024,0.728,99.272,0.61,0.118,20.379
United Arab Emirates,2000,0.0,100.0,0.0,0.0,32.138
United Arab Emirates,2001,0.0,100.0,0.0,0.0,27.365
United Arab Emirates,2002,0.0,100.0,0.0,0.0,21.536
United Arab Emirates,2003,0.0,100.0,0.0,0.0,25.547
United Arab Emirates,2004,0.0,100.0,0.0,0.0,25.394
United Arab Emirates,2005,0.0,100.0,0.0,0.0,24.711
United Arab Emirates,2006,0.0,100.0,0.0,0.0,24.5
United Arab Emirates,2007,0.0,100.0,0.0,0.0,23.842
United Arab Emirates,2008,0.0,100.0,0.0,0.0,24.598
United Arab Emirates,2009,0.002,99.998,0.002,0.0,25.21
United Arab Emirates,2010,0.005,99.995,0.005,0.0,26.786
United Arab Emirates,2011,0.005,99.995,0.005,0.0,27.574
United Arab Emirates,2012,0.006,99.994,0.006,0.0,27.787
United Arab Emirates,2013,0.02,99.98,0.019,0.0,27.348
United Arab Emirates,2014,0.07,99.93,0.069,0.001,26.045
United Arab Emirates,2015,0.062,99.938,0.062,0.0,25.943
United Arab Emirates,2016,0.063,99.937,0.063,0.0,25.235
United Arab Emirates,2017,0.154,99.846,0.154,0.0,21.279
